t,x,y,id,
13.1,3.53286,4.63065,14,
13.1005,3.54672,4.65619,14,
13.101,3.55072,4.65365,14,
13.1015,3.54134,4.64827,14,
13.102,3.53986,4.63935,14,
13.1025,3.54487,4.64044,14,
13.103,3.57337,4.62848,14,
13.1035,3.5687,4.61541,14,
13.104,3.56395,4.62618,14,
13.1045,3.5461,4.62759,14,
13.105,3.56013,4.61533,14,
13.1055,3.55173,4.60251,14,
13.106,3.58745,4.58303,14,
13.1065,3.56939,4.57787,14,
13.107,3.55966,4.60946,14,
13.1075,3.57294,4.58841,14,
13.108,3.57125,4.5705,14,
13.1085,3.57385,4.5884,14,
13.109,3.56277,4.57808,14,
13.1095,3.57989,4.60114,14,
13.11,3.58311,4.54125,14,
13.1105,3.59345,4.55893,14,
13.111,3.5974,4.5558,14,
13.1115,3.59368,4.57729,14,
13.112,3.59873,4.57684,14,
13.1125,3.61608,4.57085,14,
13.113,3.61013,4.54564,14,
13.1135,3.60433,4.55145,14,
13.114,3.61224,4.55604,14,
13.1145,3.60725,4.53978,14,
13.115,3.62261,4.5562,14,
13.1155,3.60471,4.55388,14,
13.116,3.59719,4.57364,14,
13.1165,3.59088,4.57753,14,
13.117,3.60027,4.58392,14,
13.1175,3.57747,4.573,14,
13.118,3.57808,4.61862,14,
13.1185,3.56539,4.60612,14,
13.119,3.56715,4.61781,14,
13.1195,3.56794,4.621,14,
13.12,3.56993,4.61807,14,
13.1205,3.55825,4.58395,14,
13.121,3.53719,4.6046,14,
13.1215,3.5426,4.61344,14,
13.122,3.53203,4.60249,14,
13.1225,3.5157,4.6129,14,
13.123,3.47811,4.66041,14,
13.1235,3.48485,4.62394,14,
13.124,3.47456,4.634,14,
13.1245,3.49003,4.60471,14,
13.125,3.46846,4.65981,14,
13.1255,3.47609,4.64257,14,
13.126,3.48045,4.60943,14,
13.1265,3.49468,4.61571,14,
13.127,3.51042,4.59083,14,
13.1275,3.51121,4.60601,14,
13.128,3.50656,4.61857,14,
13.1285,3.4983,4.61393,14,
13.129,3.48442,4.60874,14,
13.1295,3.47693,4.61857,14,
13.13,3.45818,4.60878,14,
13.1305,3.45395,4.61684,14,
13.131,3.47358,4.61583,14,
13.1315,3.4537,4.58794,14,
13.132,3.47416,4.63887,14,
13.1325,3.4307,4.63291,14,
13.133,3.43192,4.64107,14,
13.1335,3.44147,4.60878,14,
13.134,3.46219,4.60175,14,
13.1345,3.46313,4.60603,14,
13.135,3.43301,4.59453,14,
13.1355,3.4288,4.57723,14,
13.136,3.4319,4.61343,14,
13.1365,3.41392,4.61371,14,
13.137,3.4045,4.63433,14,
13.1375,3.40752,4.64683,14,
13.138,3.3969,4.62854,14,
13.1385,3.37441,4.62445,14,
13.139,3.36534,4.62697,14,
13.1395,3.36387,4.62547,14,
13.14,3.36133,4.62682,14,
13.1405,3.368,4.62237,14,
13.141,3.34431,4.60538,14,
13.1415,3.36109,4.58029,14,
13.142,3.34089,4.58266,14,
13.1425,3.35746,4.57975,14,
13.143,3.34607,4.57147,14,
13.1435,3.35616,4.59677,14,
13.144,3.32335,4.61287,14,
13.1445,3.30579,4.61683,14,
13.145,3.33539,4.63217,14,
13.1455,3.35125,4.63737,14,
13.146,3.32408,4.59803,14,
13.1465,3.30789,4.60718,14,
13.147,3.29937,4.60607,14,
13.1475,3.28644,4.62129,14,
13.148,3.27273,4.58507,14,
13.1485,3.2804,4.58558,14,
13.149,3.24931,4.56682,14,
13.1495,3.26435,4.56354,14,
13.15,3.29052,4.57004,14,
13.1505,3.29113,4.54885,14,
13.151,3.25524,4.54657,14,
13.1515,3.28974,4.54759,14,
13.152,3.24368,4.49892,14,
13.1525,3.24754,4.52398,14,
13.153,3.25882,4.55556,14,
13.1535,3.26865,4.54849,14,
13.154,3.2971,4.56211,14,
13.1545,3.28236,4.56054,14,
13.155,3.27151,4.5274,14,
13.1555,3.28935,4.54662,14,
13.156,3.28149,4.56238,14,
13.1565,3.30451,4.55654,14,
13.157,3.32115,4.55216,14,
13.1575,3.32132,4.5341,14,
13.158,3.30629,4.52363,14,
13.1585,3.31975,4.53327,14,
13.159,3.3188,4.53486,14,
13.1595,3.3303,4.52357,14,
13.16,3.35146,4.56053,14,
13.1605,3.33629,4.58126,14,
13.161,3.30904,4.56854,14,
13.1615,3.3409,4.55907,14,
13.162,3.31641,4.56036,14,
13.1625,3.32356,4.55152,14,
13.163,3.31507,4.56214,14,
13.1635,3.31139,4.58004,14,
13.164,3.33351,4.58443,14,
13.1645,3.34981,4.58588,14,
13.165,3.34287,4.56785,14,
13.1655,3.32949,4.5525,14,
13.166,3.30862,4.55659,14,
13.1665,3.31091,4.56188,14,
13.167,3.3004,4.56753,14,
13.1675,3.28288,4.57488,14,
13.168,3.27685,4.58301,14,
13.1685,3.30645,4.57774,14,
13.169,3.29648,4.56431,14,
13.1695,3.29327,4.57008,14,
13.17,3.28718,4.56386,14,
13.1705,3.28179,4.56796,14,
13.171,3.27298,4.56899,14,
13.1715,3.22138,4.52849,14,
13.172,3.19509,4.53368,14,
13.1725,3.21611,4.5726,14,
13.173,3.22259,4.58783,14,
13.1735,3.22112,4.58152,14,
13.174,3.20288,4.54517,14,
13.1745,3.20649,4.5528,14,
13.175,3.21366,4.55077,14,
13.1755,3.20851,4.55676,14,
13.176,3.21812,4.57832,14,
13.1765,3.2351,4.58457,14,
13.177,3.22748,4.56473,14,
13.1775,3.22467,4.59294,14,
13.178,3.20954,4.56575,14,
13.1785,3.20057,4.56705,14,
13.179,3.17225,4.55795,14,
13.1795,3.15318,4.57444,14,
13.18,3.16226,4.57253,14,
